titleType,primaryTitle,isAdult,year,runtimeMinutes,genres,averageRating,numVotes
movie,Stigmata,0,1999,103,Horror,6.2,67547
movie,Austin Powers: The Spy Who Shagged Me,0,1999,95,Action,6.6,227476
movie,Austin Powers: The Spy Who Shagged Me,0,1999,95,Adventure,6.6,227476
movie,Austin Powers: The Spy Who Shagged Me,0,1999,95,Comedy,6.6,227476
movie,The Bone Collector,0,1999,118,Crime,6.7,164941
movie,The Bone Collector,0,1999,118,Drama,6.7,164941
movie,The Bone Collector,0,1999,118,Mystery,6.7,164941
movie,Thirteen Days,0,2000,145,Drama,7.3,57809
movie,Thirteen Days,0,2000,145,History,7.3,57809
movie,Thirteen Days,0,2000,145,Thriller,7.3,57809
movie,Lara Croft: Tomb Raider,0,2001,100,Action,5.8,206207
movie,Lara Croft: Tomb Raider,0,2001,100,Adventure,5.8,206207
movie,Lara Croft: Tomb Raider,0,2001,100,Fantasy,5.8,206207
movie,Urban Legend,0,1998,99,Horror,5.6,64867
movie,Urban Legend,0,1998,99,Mystery,5.6,64867
movie,Urban Legend,0,1998,99,Thriller,5.6,64867
movie,End of Days,0,1999,122,Action,5.8,109326
movie,End of Days,0,1999,122,Fantasy,5.8,109326
movie,End of Days,0,1999,122,Horror,5.8,109326
movie,Any Given Sunday,0,1999,162,Drama,6.9,117182
movie,Any Given Sunday,0,1999,162,Sport,6.9,117182
movie,High Fidelity,0,2000,113,Comedy,7.5,176178
movie,High Fidelity,0,2000,113,Drama,7.5,176178
movie,High Fidelity,0,2000,113,Music,7.5,176178
movie,The Legend of Bagger Vance,0,2000,126,Drama,6.7,56088
movie,The Legend of Bagger Vance,0,2000,126,Fantasy,6.7,56088
movie,The Legend of Bagger Vance,0,2000,126,Sport,6.7,56088
movie,Happiness,0,1998,134,Comedy,7.7,69171
movie,Happiness,0,1998,134,Drama,7.7,69171
movie,10 Things I Hate About You,0,1999,97,Comedy,7.3,323343
movie,10 Things I Hate About You,0,1999,97,Drama,7.3,323343
movie,10 Things I Hate About You,0,1999,97,Romance,7.3,323343
movie,Deep Blue Sea,0,1999,105,Action,5.9,131155
movie,Deep Blue Sea,0,1999,105,Adventure,5.9,131155
movie,Deep Blue Sea,0,1999,105,Sci-Fi,5.9,131155
movie,Double Jeopardy,0,1999,105,Crime,6.5,84085
movie,Double Jeopardy,0,1999,105,Drama,6.5,84085
movie,Double Jeopardy,0,1999,105,Mystery,6.5,84085
movie,Show Me Love,0,1998,89,Comedy,7.5,51674
movie,Show Me Love,0,1998,89,Drama,7.5,51674
movie,Show Me Love,0,1998,89,Romance,7.5,51674
movie,The Messenger: The Story of Joan of Arc,0,1999,158,Adventure,6.4,66031
movie,The Messenger: The Story of Joan of Arc,0,1999,158,Biography,6.4,66031
movie,The Messenger: The Story of Joan of Arc,0,1999,158,Drama,6.4,66031
movie,Never Been Kissed,0,1999,107,Comedy,6.1,88656
movie,Never Been Kissed,0,1999,107,Drama,6.1,88656
movie,Never Been Kissed,0,1999,107,Romance,6.1,88656
movie,Office Space,0,1999,89,Comedy,7.7,256825
movie,Taxi,0,1998,86,Action,7.0,81712
movie,Taxi,0,1998,86,Comedy,7.0,81712
movie,Taxi,0,1998,86,Crime,7.0,81712
movie,The Celebration,0,1998,105,Drama,8.1,84851
movie,The Idiots,0,1998,117,Comedy,6.8,31252
movie,The Idiots,0,1998,117,Drama,6.8,31252
movie,Following,0,1998,69,Crime,7.5,91415
movie,Following,0,1998,69,Mystery,7.5,91415
movie,Following,0,1998,69,Thriller,7.5,91415
